,id,title,release_date,revenue,runtime,adult,backdrop_path,homepage,overview,popularity,poster_path,tagline,genres,spoken_languages,vote_avg,revenue_category
267,82992,Fast & Furious 6,2013-05-21,788680968,131,False,/mRfI3y2oAd7ejur2di09xC9niqp.jpg,https://www.thefastsaga.com/fast-saga/ff6,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",6.263,/thSmnRdrzPBBospIOJjLZBReqzo.jpg,All roads lead to this,"Action, Thriller, Crime","Cantonese, Dutch, English, Japanese, Russian, Spanish",good (6-7),good(100014025-1000000000)
268,75612,Oblivion,2013-04-10,286168572,124,False,/19AqfWi8S99tDmp7hskCeDQuwLU.jpg,https://www.uphe.com/movies/oblivion,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",30.901,/eO3r38fwnhb58M1YgcjQBd3VNcp.jpg,Earth is a memory worth fighting for,"Action, Science Fiction, Adventure, Mystery",English,good (6-7),good(100014025-1000000000)
269,310,Bruce Almighty,2003-05-23,484592874,101,False,/8bQbejOvAKe78RXxpkfM04n0K18.jpg,http://www.brucealmighty.com/,"Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God—and the Almighty responds, endowing Bruce with all of His divine powers.",33.909,/f0QqG14SZYYZcV4VWykVc5w13dz.jpg,In Bruce we trust?,"Fantasy, Comedy",English,good (6-7),good(100014025-1000000000)
270,13223,Gran Torino,2008-12-12,269958228,116,False,/wmsePXV2z1b6ecXuKKrFbG0Q92P.jpg,http://www.thegrantorino.com/,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",35.849,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,Ever come across somebody you shouldn't have f#cked with?,Drama,English,excellent (7-10),good(100014025-1000000000)
271,168259,Furious 7,2015-04-01,1515341399,137,False,/cHkhb5A4gQRK6zs6Pv7zorHs8Nk.jpg,https://www.thefastsaga.com/fast-saga/ff7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,62.276,/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,Vengeance hits home,"Action, Thriller, Crime","Arabic, English, Spanish, Thai",excellent (7-10),best(1500000000-2000000000)
272,211672,Minions,2015-06-17,1156730962,91,False,/c7xTZ9EA6GpH72xJC5s0x0KKR1a.jpg,http://www.minionsmovie.com/,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",26.414,/vlOgaxUiMOA8sPDG9n3VhQabnEi.jpg,"Before Gru, they had a history of bad bosses","Family, Animation, Adventure, Comedy",English,good (6-7),better(1000000000-1500000000)
273,36557,Casino Royale,2006-11-14,599045960,144,False,/kjC48HRQpojr3FHx5pZF7Ro9xFg.jpg,https://www.mgm.com/movies/casino-royale-2006,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",43.407,/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,Everyone has a past. Every legend has a beginning.,"Adventure, Action, Thriller","English, French",excellent (7-10),good(100014025-1000000000)
274,18,The Fifth Element,1997-05-02,263920180,126,False,/wgvc3PmjQGtYYDWaeuV867mnFDs.jpg,,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",49.67,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,There is no future without it.,"Adventure, Fantasy, Action, Thriller, Science Fiction","English, Swedish, German",excellent (7-10),good(100014025-1000000000)
275,12405,Slumdog Millionaire,2008-11-12,378410542,120,False,/9IZvClXvhSxlp41eT0CyUEsyjqy.jpg,http://www.foxsearchlight.com/slumdogmillionaire,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",22.969,/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg,What does it take to find a lost love?,"Drama, Romance","French, Hindi, English",excellent (7-10),good(100014025-1000000000)
276,62211,Monsters University,2013-06-19,743559607,104,False,/pK42lGbT48fClhtEcP7gvk4hoXP.jpg,,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,44.116,/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg,School never looked this scary.,"Animation, Family",English,good (6-7),good(100014025-1000000000)
